x,phiSquared
1.752941176470588,4.26727146772515e-28
1.776470588235294,3.428334109835935e-29
1.8,2.572965461968364e-30
1.823529411764706,1.801017904492172e-31
1.847058823529411,1.1738058913935e-32
1.870588235294117,7.109920246770125e-34
1.894117647058824,3.994304863056676e-35
1.91764705882353,2.076579256195567e-36
1.941176470588236,9.965348097800862e-38
1.964705882352941,4.401828460454704e-39
1.988235294117647,1.78379840001467e-40
2.011764705882353,6.606440626091481e-42
2.035294117647059,2.225980664036692e-43
2.058823529411764,6.785864037735841e-45
2.08235294117647,1.858757325227747e-46
2.105882352941176,4.534347876121562e-48
2.129411764705882,9.73432105249809e-50
2.152941176470589,1.808325163084453e-51
2.176470588235294,2.833436836020943e-53
2.2,3.587290360702398e-55
2.223529411764706,3.375506985554573e-57
2.247058823529412,1.849794901030918e-59
2.270588235294118,2.453026045742729e-62
2.294117647058823,4.342149792742516e-64
2.317647058823529,5.060230390699075e-66
2.341176470588235,5.226628473045138e-67
2.364705882352941,3.776026727422976e-65
2.388235294117647,5.940656287825918e-66
2.411764705882353,8.177318633027307e-65
2.435294117647059,6.308826240298204e-67
2.458823529411765,2.067016500488473e-65
2.482352941176471,9.479302997815206e-67
2.505882352941176,3.080061994503089e-67
2.529411764705882,6.740866617774671e-66
2.552941176470588,3.959366266627484e-67
2.576470588235294,2.78619112282113e-66
2.6,3.073878565733391e-66
2.623529411764705,1.669618821886917e-66
2.647058823529411,7.372404174003375e-67
2.670588235294118,1.163527721173141e-69
2.694117647058824,4.327256186475303e-68
2.71764705882353,6.330061497930011e-68
2.741176470588235,1.955498606487508e-67
2.764705882352941,6.816889402835838e-68
2.788235294117647,4.286501548821042e-68
2.811764705882353,1.27066129421601e-72
2.835294117647059,7.76172869570303e-69
2.858823529411764,4.514510326997896e-70
2.88235294117647,8.571438417189153e-70
2.905882352941177,5.858072068219073e-70
2.929411764705883,8.01574962072095e-70
2.952941176470588,4.794869966929063e-71
2.976470588235294,1.07567214948137e-69
3,9.902800345920738e-72
