x,V,psiSquared
-1.341176470588235,504.0839079608723,6.710645471212261e-14
-1.325490196078431,482.95441843824,1.805408615794119e-13
-1.309803921568627,462.5135744899228,4.755512355035741e-13
-1.294117647058824,442.7457525652232,1.226685780426997e-12
-1.27843137254902,423.635515108095,3.099465980035658e-12
-1.262745098039216,405.1676105571437,7.672924801268898e-12
-1.247058823529412,387.3269733456257,1.861479322670068e-11
-1.231372549019608,370.0987239014481,4.426709840965138e-11
-1.215686274509804,353.4681686471697,1.032123081976833e-10
-1.2,337.4208,2.359995708724202e-10
-1.184313725490196,321.9422963718004,5.293239839975953e-10
-1.168627450980392,307.0185221690827,1.164832720672684e-09
-1.152941176470588,292.6355277930101,2.515578111218561e-09
-1.137254901960784,278.7795496393972,5.332668123316292e-09
-1.12156862745098,265.4370100987095,1.109899518856623e-08
-1.105882352941177,252.5945175560638,2.268582471402391e-08
-1.090196078431373,240.2388663912278,4.554663551973017e-08
-1.074509803921569,228.3570369786204,8.984365778722187e-08
-1.058823529411765,216.9361956873122,1.741590511192428e-07
-1.043137254901961,205.9636948810243,3.318408112713161e-07
-1.027450980392157,195.4270729181291,6.216354505727899e-07
-1.011764705882353,185.3140541516505,1.145145186691076e-06
-0.996078431372549,175.6125489292631,2.074914178629494e-06
-0.9803921568627452,166.3106535932931,3.698707125262638e-06
-0.9647058823529413,157.3966504807175,6.487909051656413e-06
-0.9490196078431372,148.8590079231644,1.120104882611147e-05
-0.9333333333333333,140.6863802469136,1.903729250292502e-05
-0.9176470588235295,132.8676077728955,3.185935093764158e-05
-0.9019607843137254,125.3917168166917,5.25104612459883e-05
-0.8862745098039215,118.2479196885355,8.525561988452715e-05
-0.8705882352941177,111.4256146933107,0.0001363825244094983
-0.8549019607843138,104.9143861305525,0.0002150019082916028
-0.8392156862745099,98.70400429444747,0.0003340890251277897
-0.8235294117647058,92.78442547383293,0.0005118065812517482
-0.807843137254902,87.14579195219773,0.0007731428599330572
-0.7921568627450981,81.77843200768169,0.001151885506249317
-0.776470588235294,76.67285991307571,0.001692929999999721
-0.7607843137254902,71.81977593582215,0.002454891250190166
-0.7450980392156863,67.2100663380142,0.003512946828019209
-0.7294117647058824,62.83480337639638,0.004961792126595502
-0.7137254901960786,58.68524530236429,0.006918533717112113
-0.6980392156862745,54.7528363619647,0.009525291617614982
-0.6823529411764706,51.02920679589565,0.01295123011728807
-0.6666666666666667,47.50617283950619,0.0173936977362302
-0.6509803921568627,44.17573672279654,0.02307813830690145
-0.6352941176470588,41.03008667041821,0.0302564454762768
-0.6196078431372549,38.06159690167373,0.03920347928393842
-0.6039215686274511,35.26282763051682,0.05021155021529123
-0.5882352941176472,32.6265250655524,0.0635828033169769
-0.5725490196078431,30.14562141003645,0.07961959714828011
-0.5568627450980392,27.81323486187625,0.0986131579819247
-0.5411764705882354,25.62266961363012,0.1208309814356435
-0.5254901960784313,23.56741585250755,0.1465036299521481
-0.5098039215686274,21.64114976036927,0.1758117118169892
-0.4941176470588236,19.83773351372709,0.2088739039275126
-0.4784313725490197,18.15121528374398,0.2457368799162569
-0.4627450980392158,16.57582923623409,0.286367919855695
-0.4470588235294117,15.10599553166269,0.3306508109405572
-0.4313725490196079,13.73632032514629,0.3783854149373203
-0.415686274509804,12.46159576645247,0.4292910022332743
-0.3999999999999999,11.27679999999999,0.4830131647123199
-0.384313725490196,10.17709716485881,0.5391338527218225
-0.3686274509803922,9.157837394749986,0.597183863982239
-0.3529411764705883,8.214556818045764,0.65665696570392
-0.3372549019607844,7.34297755776954,0.7170247663383136
-0.3215686274509804,6.539007731595852,0.7777514701235302
-0.3058823529411765,5.798741451850434,0.8383077357689068
-0.2901960784313726,5.11845882551014,0.898183002854961
-0.2745098039215685,4.494625954202983,0.9568958245484617
-0.2588235294117647,3.923894934208162,1.014001931419966
-0.2431372549019608,3.403103856456003,1.069099929408129
-0.2274509803921569,2.929276806527997,1.121834690686106
-0.2117647058823531,2.499623864656797,1.171898620091987
-0.196078431372549,2.111541105726201,1.219031067906358
-0.1803921568627451,1.762610599271183,1.263016212606762
-0.1647058823529413,1.450600409477857,1.303679758627059
-0.1490196078431372,1.173464595183497,1.340884789952185
-0.1333333333333333,0.9293432098765428,1.374527097286778
-0.1176470588235294,0.7165623016965796,1.404530261160941
-0.1019607843137256,0.5336339134343541,1.4308407315541
-0.08627450980392171,0.3792560825317693,1.453423101201442
-0.07058823529411762,0.2523128410818834,1.472255728237737
-0.05490196078431375,0.1518742158289164,1.487326826575429
-0.03921568627450989,0.07719622816823953,1.498631110698137
-0.0235294117647058,0.02772089414638215,1.506167055807686
-0.007843137254901933,0.003076224461032252,1.509934814260507
0.007843137254901933,0.003076224461032252,1.509934814260525
0.0235294117647058,0.02772089414638215,1.506167055807731
0.03921568627450966,0.07719622816823865,1.498631110698224
0.05490196078431353,0.1518742158289152,1.487326826575575
0.0705882352941174,0.2523128410818818,1.472255728237944
